ID,COUNTYFIPS,STATEFIP,YEAR,AGE,SEX2,HISPAN2,MIGRATE1
6001,001,6,2013,31.702290076335878,0.5190839694656488,0.8931297709923665,131
6001,001,6,2014,33.78616352201258,0.4968553459119497,0.8742138364779874,159
9001,001,9,2013,28.3125,0.4375,0.8541666666666666,48
9001,001,9,2014,31.78688524590164,0.45901639344262296,0.639344262295082,61
10001,001,10,2013,22.0,1.0,1.0,1
10001,001,10,2014,21.5,0.5,0.5,2
12001,001,12,2013,25.76923076923077,0.34615384615384615,0.8461538461538461,26
12001,001,12,2014,29.130434782608695,0.34782608695652173,1.0,23
23001,001,23,2014,26.5,0.5,0.0,2
36001,001,36,2013,24.41176470588235,0.5294117647058824,1.0,17
36001,001,36,2014,28.0,0.7,1.0,10
37001,001,37,2013,76.0,0.5,0.0,2
37001,001,37,2014,55.666666666666664,0.6666666666666666,0.3333333333333333,3
1003,003,1,2013,23.0,0.0,1.0,1
9003,003,9,2013,26.647058823529413,0.4117647058823529,1.0,17
9003,003,9,2014,31.90740740740741,0.5,0.8518518518518519,54
10003,003,10,2013,49.17391304347826,0.391304347826087,1.0,23
10003,003,10,2014,31.0,0.5,0.9285714285714286,14
18003,003,18,2013,36.0,0.0,1.0,3
18003,003,18,2014,19.666666666666668,0.3333333333333333,1.0,3
24003,003,24,2013,30.22222222222222,0.6666666666666666,1.0,9
24003,003,24,2014,27.5,0.5,1.0,2
25003,003,25,2013,21.5,1.0,1.0,2
25003,003,25,2014,18.88888888888889,0.1111111111111111,0.4444444444444444,9
27003,003,27,2013,24.0,0.0,1.0,2
32003,003,32,2013,32.81944444444444,0.5277777777777778,0.7083333333333334,72
32003,003,32,2014,36.61290322580645,0.5,0.6612903225806451,62
34003,003,34,2013,34.111111111111114,0.5777777777777777,0.8666666666666667,45
34003,003,34,2014,31.125,0.5833333333333334,0.875,24
39003,003,39,2013,32.5,0.5,1.0,2
42003,003,42,2013,25.842105263157894,0.5,0.8157894736842105,38
42003,003,42,2014,28.97142857142857,0.5142857142857142,0.9142857142857143,35
44003,003,44,2013,45.5,0.5,1.0,2
44003,003,44,2014,32.0,1.0,1.0,1
4005,005,4,2013,33.5,1.0,1.0,2
4005,005,4,2014,22.0,0.5,1.0,2
9005,005,9,2013,70.0,0.5,1.0,2
9005,005,9,2014,49.0,0.5,1.0,2
10005,005,10,2013,24.0,0.0,1.0,1
10005,005,10,2014,21.0,0.5,0.5,2
22005,005,22,2013,48.0,0.0,1.0,1
24005,005,24,2013,33.625,0.625,0.9166666666666666,24
24005,005,24,2014,29.615384615384617,0.6153846153846154,0.8076923076923077,26
26005,005,26,2014,64.0,0.0,1.0,1
34005,005,34,2013,42.27272727272727,0.2727272727272727,1.0,11
34005,005,34,2014,36.857142857142854,0.7142857142857143,1.0,7
36005,005,36,2013,32.25423728813559,0.5254237288135594,0.6610169491525424,59
36005,005,36,2014,28.79591836734694,0.4897959183673469,0.5714285714285714,49
41005,005,41,2013,30.0,0.8,1.0,5
5007,007,5,2013,24.583333333333332,0.3333333333333333,0.75,12
5007,007,5,2014,41.0,0.5,0.9166666666666666,12
6007,007,6,2013,18.666666666666668,0.3333333333333333,1.0,3
6007,007,6,2014,89.0,1.0,0.0,1
9007,007,9,2013,24.75,0.25,0.5,8
9007,007,9,2014,18.0,1.0,1.0,2
34007,007,34,2013,35.57142857142857,0.7142857142857143,1.0,7
34007,007,34,2014,28.625,0.125,0.5,8
44007,007,44,2013,27.266666666666666,0.6333333333333333,0.8333333333333334,30
44007,007,44,2014,33.65625,0.65625,0.9375,32
45007,007,45,2013,16.333333333333332,1.0,0.3333333333333333,3
9009,009,9,2013,29.86111111111111,0.4722222222222222,0.7777777777777778,36
9009,009,9,2014,28.846153846153847,0.5641025641025641,1.0,39
12009,009,12,2013,31.615384615384617,0.46153846153846156,0.7692307692307693,13
12009,009,12,2014,37.04761904761905,0.38095238095238093,0.9047619047619048,21
44009,009,44,2013,50.0,1.0,1.0,1
44009,009,44,2014,15.0,0.0,0.0,1
55009,009,55,2013,23.0,0.0,1.0,3
55009,009,55,2014,21.4,0.4,1.0,5
11010,010,11,2013,25.181818181818183,0.5909090909090909,0.9545454545454546,44
11010,010,11,2014,27.962962962962962,0.5555555555555556,0.8518518518518519,54
9011,011,9,2013,33.4,0.3,0.8,10
9011,011,9,2014,47.25,0.25,1.0,4
12011,011,12,2013,43.710344827586205,0.5586206896551724,0.6206896551724138,145
12011,011,12,2014,40.625,0.54375,0.6375,160
23011,011,23,2013,18.0,0.0,1.0,1
23011,011,23,2014,19.5,1.0,1.0,2
42011,011,42,2013,17.666666666666668,0.3333333333333333,0.3333333333333333,6
42011,011,42,2014,45.5,0.0,1.0,2
49011,011,49,2013,26.333333333333332,0.3333333333333333,0.3333333333333333,3
53011,011,53,2013,44.0,0.75,0.75,4
53011,011,53,2014,29.625,0.375,1.0,8
4013,013,4,2013,37.298780487804876,0.3780487804878049,0.7195121951219512,164
4013,013,4,2014,35.507462686567166,0.4577114427860697,0.7263681592039801,201
6013,013,6,2013,37.84313725490196,0.5490196078431373,0.9215686274509803,51
6013,013,6,2014,31.181818181818183,0.38961038961038963,0.8961038961038961,77
9013,013,9,2013,40.333333333333336,0.16666666666666666,1.0,6
9013,013,9,2014,23.428571428571427,0.42857142857142855,1.0,7
19013,013,19,2013,20.625,0.375,1.0,8
24013,013,24,2013,17.0,0.0,0.0,1
34013,013,34,2013,26.818181818181817,0.48484848484848486,0.5454545454545454,33
34013,013,34,2014,37.55555555555556,0.5277777777777778,0.6944444444444444,36
35013,013,35,2013,23.666666666666668,0.5833333333333334,0.16666666666666666,12
35013,013,35,2014,29.6,0.4,0.2,5
36013,013,36,2013,31.0,0.5,1.0,6
36013,013,36,2014,24.0,0.0,1.0,2
51013,013,51,2013,28.142857142857142,0.42857142857142855,0.7857142857142857,14
51013,013,51,2014,26.894736842105264,0.5,0.9473684210526315,38
1015,015,1,2013,23.0,0.6666666666666666,0.6666666666666666,3
9015,015,9,2013,30.0,0.0,0.0,1
9015,015,9,2014,78.0,0.5,0.0,2
12015,015,12,2013,58.0,1.0,1.0,1
12015,015,12,2014,23.25,0.375,0.875,8
21015,015,21,2013,19.625,0.375,1.0,8
21015,015,21,2014,25.0,0.6666666666666666,1.0,3
24015,015,24,2013,24.0,1.0,1.0,1
24015,015,24,2014,54.0,0.5,1.0,2
34015,015,34,2013,64.5,0.5,1.0,2
34015,015,34,2014,29.0,0.0,0.0,1
6017,017,6,2013,21.0,1.0,1.0,1
6017,017,6,2014,36.0,0.4444444444444444,0.8888888888888888,9
22017,017,22,2013,40.5,1.0,1.0,2
34017,017,34,2013,31.25,0.5,0.7894736842105263,76
34017,017,34,2014,29.72972972972973,0.44594594594594594,0.7432432432432432,74
38017,017,38,2013,37.8,0.6,1.0,5
38017,017,38,2014,50.666666666666664,0.6666666666666666,1.0,3
39017,017,39,2013,19.5,0.3333333333333333,1.0,6
39017,017,39,2014,21.0,0.4,0.9,10
40017,017,40,2013,25.0,0.0,0.0,1
41017,017,41,2013,73.0,1.0,1.0,1
41017,017,41,2014,78.0,1.0,0.0,1
42017,017,42,2013,25.071428571428573,0.6428571428571429,0.8571428571428571,14
42017,017,42,2014,28.0,0.8333333333333334,1.0,6
4019,019,4,2013,31.296296296296298,0.48148148148148145,0.5185185185185185,54
4019,019,4,2014,34.38636363636363,0.4318181818181818,0.7045454545454546,44
